co_art,Modelo,Descripción,Sub-Línea,Marca,P1 C/IVA,P2 C/IVA,DSP
301410,KOEC530PSS,"HORNO MICROONDAS ELECT KITCHENAID 30"" DIGITAL CONVEC ACERO",HORNOS,KITCHENAID,"9.199,99","5.499,99",1
301411,KOES530PSS,"HORNO ELECT KITCHENAID 30"" DIGITAL CONVEC P/EMP ACERO",HORNOS,KITCHENAID,"5.934,99","3.549,99",8
301412,KCGS356ESS,TOPE A GAS KITCHENAID 5 QUEM 90 CM ACERO,TOPES,KITCHENAID,"1.999,99","1.199,99",3
301414,SJ20G4H,"COCINA A GAS SJ ELECTRONICS 4 QUEM 20"" GRIS",COCINAS,SJ ELECTRONICS,"424,99","249,99",2
301416,GENOVA90PROF,TOPE A GAS DRIJA 5 QUEM 90 CM VITRO GENOVA90 NEGRO,TOPES,DRIJA,"1.104,99","639,99",6
301417,WMCS7022RZ,MICROONDAS WHIRLPOOL 1.6 CU.FT. NEGRO,MICROONDAS,WHIRLPOOL,"469,99","279,99",15
301421,BARON320PRO,PARRILLERA BROILKING 3 QUEM BARON 320 PRO ACERO 874214,PARRILLERAS,BROILKING,"2.029,99","1.169,99",2
301422,CANNES60,"COCINA A GAS FERRETTI 4 QUEM 24"" ACERO",COCINAS,FERRETTI,"989,99","579,99",1
301429,MS2032GAS,MICROONDAS LG 0.7 CU.FT. NEOCHEF NEGRO,MICROONDAS,LG,"184,99","109,99",18
301430,ARCOISLA90,CAMPANA P/EMP DRIJA 90 CM TELESCOPIC DOWNDRAFT SYSTEM ACERO,CAMPANAS,DRIJA,"1.084,99","649,99",5
301432,WCGK7536PS,TOPE A GAS WHIRLPOOL 5 QUEM 90 CM ACERO,TOPES,WHIRLPOOL,"1.669,99","999,99",1
301433,WCGK5036PS,TOPE A GAS WHIRLPOOL 5 QUEM 90 CM ACERO,TOPES,WHIRLPOOL,"1.519,99","889,99",15
301434,VIMI01141010104,HORNO MICROONDAS VIOTTO 1.4 CU.FT AIRFRYER GRILL ACERO INOX,MICROONDAS,VIOTTO,"379,99","219,99",1
301436,WCGK5030PS,"TOPE A GAS WHIRLPOOL 4 QUEM 30"" ACERO",TOPES,WHIRLPOOL,"934,99","559,99",3
301438,REGALS420PRO,PARRILLERA BROILKING REGAL S420 A GAS 956314,PARRILLERAS,BROILKING,"3.094,99","1.789,99",2
301439,MONARCH320,PARRILLERA BROILKING 3 QUEM MONARCH 320 A GAS 834254,PARRILLERAS,BROILKING,"1.299,99","749,99",2
301440,MONARCH390,PARRILLERA BROILKING 3 QUEM MONARCH 390 A GAS 834284,PARRILLERAS,BROILKING,"1.729,99","999,99",2
301441,WMML5530RZ,CAMPANA/MICROONDAS D/PARED WHIRLPOOL 76 CM 1.1 CU.FT. ACERO,CAMPANAS,WHIRLPOOL,"1.389,99","819,99",1
301442,MILAN76PRO,TOPE A GAS DRIJA 5 QUEM 76 CM MILAN76PRO ACERO,TOPES,DRIJA,"444,99","264,99",3
301443,FERRARA60PRO,TOPE A GAS DRIJA 4 QUEM 60 CM VITRO FERRARA60PRO NEGRO,TOPES,DRIJA,"319,99","189,99",8
301444,FERRARA76PRO,TOPE A GAS DRIJA 5 QUEM 76 CM VITRO FERRARA76PRO NEGRO,TOPES,DRIJA,"399,99","239,99",6
301445,MILAN60PRO,TOPE A GAS DRIJA 4 QUEM 60 CM MILAN60PRO ACERO,TOPES,DRIJA,"349,99","209,99",4
301446,TOSCANA76PRO,TOPE A GAS DRIJA 5 QUEM 76 CM VITRO TOSCANA76PRO NEGRO,TOPES,DRIJA,"444,99","264,99",5
301447,TOSCANA60PRO,TOPE A GAS DRIJA 4 QUEM 60 CM VITRO TOSCANA60PRO ACERO,TOPES,DRIJA,"369,99","219,99",4
301448,CANNES70H5,"COCINA A GAS JAGUAR 5 QUEM 30"" ACERO",COCINAS,JAGUAR,"1.174,99","694,99",2
301449,CANNES70H6,"COCINA A GAS JAGUAR 6 QUEM 30"" ACERO",COCINAS,JAGUAR,"1.369,99","819,99",2
301450,COMPATTO76BLACK,CAMPANA P/EMP DRIJA 76 CM COMPATTO NEGRO,CAMPANAS,DRIJA,"184,99","109,99",16
301451,RETRATILTOUCH76BLACK,CAMPANA P/EMP DRIJA 76 CM RETRATIL TOUCH NEGRO,CAMPANAS,DRIJA,"219,99","129,99",2
301452,RETRATILTOUCH90BLACK,CAMPANA P/EMP DRIJA 90 CM RETRATIL TOUCH NEGRO,CAMPANAS,DRIJA,"269,99","159,99",1
301453,MA0C80300CI4,"COCINA A GAS MABE 6 QUEM 30"" P/EMP T/ESP PLATEADO",COCINAS,MABE,"1.049,99","629,99",3
301454,GSC64320,TOPE A GAS TEKA 4 QUEM 60 CM ACERO,TOPES,TEKA,"599,99","359,99",1
301455,GSC75330,TOPE A GAS TEKA 5 QUEM 75 CM ACERO,TOPES,TEKA,"759,99","454,99",1
301456,GSC95330,TOPE A GAS TEKA 5 QUEM 86 CM ACERO,TOPES,TEKA,"844,99","504,99",1
301457,GSC96320,TOPE A GAS TEKA 6 QUEM 86 CM ACERO,TOPES,TEKA,"949,99","569,99",1
400177,LHR01O100,DECODIFICADOR /INTEG DVR HD C/C,DVD,GENERICO,"234,99","0,00",25
400238,75UK6570PSA,"TV SMART LG 4K UHD LED 75"" THINQ AI PLATEADO",TV,LG,"2.819,99","1.699,99",1
400270,55UP7700PSB,"TV SMART LG 4K UHD LED 55"" THINQ AI NEGRO",TV,LG,"1.539,99","899,99",1
400307,85P735,"TV SMART TCL 4K LED 85"" PLATEADO",TV,TCL,"2.819,99","1.699,99",1
400322,AW85B4KFG,"TV SMART AIWA 4K UHD LED 85"" NEGRO",TV,AIWA,"1.999,99","1.199,99",1
400324,AW65B4QFG,"TV SMART AIWA QLED 65"" NEGRO",TV,AIWA,"1.189,99","689,99",2
